Year,Region,Coral Area (km²),Rubble Area (km²)
2017,6 (Timur) Kahyapu,3.3459445661435208,7.516757410746035
2017,7 (Selatan) Kaana,0.374676084229613,0.5794409209597503
2017,8 (Selatan) Kaana,3.21669583941315,1.0673911701890135
2017,9 (Selatan) Apoho,0.6636704282671827,0.4705234546139326
2017,Enggano,9.2434623105484,19.185448638594643
2018,1 (Utara) Banjar Sari,0.6389824692287973,0.3761283171142239
2018,10 (Selatan) Meok,1.710730338071644,3.1223007019134417
2018,11 (Selatan) Banjar Sari,0.6723838255748481,1.320079692111311
2018,12 (Barat) Banjar Sari,1.8312656674943488,1.9924635176861591
2018,2 (Utara) Meok,1.0209197178814648,1.0456076769198503
2018,3 (Utara) Apoho,0.1118219321150395,0.2033126038455264
2018,4 (Utara) Malakoni,0.689810620190179,0.3964595774987765
